sample,bio,tech,species,nReads
TR_201807,A,2,Minutocellus polymorphus,4657
TR_201807,A,2,Mytilus trossulus,27
TR_201807,A,2,Paracalanus sp. C AC-2013,126
TR_201807,A,2,Podosira stelligera,21
TR_201807,A,2,Poteriospumella lacustris,59
TR_201807,A,2,Pseudochattonella farcimen,133
TR_201807,A,2,Pycnococcus provasolii,529
TR_201807,A,2,Rhizosolenia setigera,18
TR_201807,A,2,Ruditapes philippinarum,49
TR_201807,A,2,NA,37733
TR_201807,A,3,Bathycoccus prasinos,1812
TR_201807,A,3,Caulacanthus ustulatus,47
TR_201807,A,3,Clunio tsushimensis,50
TR_201807,A,3,Crassostrea gigas,8
TR_201807,A,3,Emiliania huxleyi,113
TR_201807,A,3,Micromonas pusilla,3460
TR_201807,A,3,Minutocellus polymorphus,4590
TR_201807,A,3,Navicula cryptocephala,16
TR_201807,A,3,Ostrea lurida,11
TR_201807,A,3,Paracalanus sp. C AC-2013,114
TR_201807,A,3,Podosira stelligera,10
TR_201807,A,3,Poteriospumella lacustris,131
TR_201807,A,3,Prasinoderma coloniale,477
TR_201807,A,3,Pycnococcus provasolii,272
TR_201807,A,3,Ruditapes philippinarum,56
TR_201807,A,3,Thalassionema nitzschioides,63
TR_201807,A,3,Triparma laevis,26
TR_201807,A,3,NA,25790
TR_201807,B,1,Bathycoccus prasinos,1978
TR_201807,B,1,Caulacanthus ustulatus,31
TR_201807,B,1,Crassostrea gigas,115
TR_201807,B,1,Emiliania huxleyi,488
TR_201807,B,1,Micromonas pusilla,2798
TR_201807,B,1,Minutocellus polymorphus,4316
TR_201807,B,1,Paracalanus sp. C AC-2013,152
TR_201807,B,1,Porichthys notatus,249
TR_201807,B,1,Poteriospumella lacustris,159
TR_201807,B,1,Pycnococcus provasolii,764
TR_201807,B,1,Pythium sp. CAL-2011c,6
TR_201807,B,1,Rhizosolenia setigera,13
TR_201807,B,1,Ruditapes philippinarum,8
TR_201807,B,1,Saprolegnia diclina,22
TR_201807,B,1,Thalassionema nitzschioides,149
TR_201807,B,1,Thalassiosira nordenskioeldii,30
TR_201807,B,1,Thalassiosira punctigera,27
TR_201807,B,1,NA,23159
TR_201807,B,2,Bathycoccus prasinos,1304
TR_201807,B,2,Crassostrea gigas,106
TR_201807,B,2,Emiliania huxleyi,1611
TR_201807,B,2,Lottia paradigitalis,171
TR_201807,B,2,Membranipora membranacea,53
TR_201807,B,2,Micromonas pusilla,1935
TR_201807,B,2,Minutocellus polymorphus,3485
TR_201807,B,2,Navicula cryptocephala,5
TR_201807,B,2,Ostrea lurida,350
TR_201807,B,2,Paracalanus sp. C AC-2013,71
TR_201807,B,2,Porichthys notatus,12
TR_201807,B,2,Poteriospumella lacustris,105
TR_201807,B,2,Prasinoderma coloniale,208
TR_201807,B,2,Pycnococcus provasolii,923
TR_201807,B,2,Rhizosolenia setigera,4
TR_201807,B,2,NA,15826
TR_201807,B,3,Bathycoccus prasinos,1828
TR_201807,B,3,Chrysochromulina sp. CCMP291,13
TR_201807,B,3,Crassostrea gigas,103
TR_201807,B,3,Cylindrotheca closterium,390
TR_201807,B,3,Emiliania huxleyi,1038
TR_201807,B,3,Lichtheimia ramosa,63
TR_201807,B,3,Loxothylacus panopaei,104
TR_201807,B,3,Micromonas pusilla,4388
TR_201807,B,3,Minutocellus polymorphus,6715
TR_201807,B,3,Mytilus trossulus,7
TR_201807,B,3,Ostrea lurida,120
TR_201807,B,3,Paracalanus sp. C AC-2013,169
TR_201807,B,3,Penicillium sclerotiorum,35
TR_201807,B,3,Phaeocystis globosa,46
TR_201807,B,3,Podosira stelligera,22
TR_201807,B,3,Poteriospumella lacustris,64
TR_201807,B,3,Pycnococcus provasolii,1653
TR_201807,B,3,Thalassionema nitzschioides,36
TR_201807,B,3,NA,27861
TR_201807,C,1,Bathycoccus prasinos,1317
TR_201807,C,1,Calanus pacificus,35
TR_201807,C,1,Caulacanthus ustulatus,25
TR_201807,C,1,Ceramium sp. 3Cal,3
TR_201807,C,1,Chthamalus dalli,39
TR_201807,C,1,Emiliania huxleyi,94
TR_201807,C,1,Gelidiophycus freshwateri,5
TR_201807,C,1,Harpacticoida sp. DNZ085,44
TR_201807,C,1,Kellia porculus,36
TR_201807,C,1,Littorina plena,57
TR_201807,C,1,Loxothylacus panopaei,9
TR_201807,C,1,Micromonas pusilla,1268
TR_201807,C,1,Minutocellus polymorphus,861
TR_201807,C,1,Mytilus trossulus,6
TR_201807,C,1,Navicula cryptocephala,18
TR_201807,C,1,Ostrea lurida,6
TR_201807,C,1,Paracalanus sp. C AC-2013,1411
TR_201807,C,1,Platynereis sp. CMC02,6
TR_201807,C,1,Pycnococcus provasolii,489
TR_201807,C,1,Rhizosolenia setigera,19
TR_201807,C,1,Ruditapes philippinarum,12
TR_201807,C,1,Thalassionema nitzschioides,22
TR_201807,C,1,Thalassiosira nordenskioeldii,10
TR_201807,C,1,NA,20963
TR_201807,C,2,Bathycoccus prasinos,359
TR_201807,C,2,Botrylloides violaceus,6
TR_201807,C,2,Calanus pacificus,395
TR_201807,C,2,Caulacanthus ustulatus,22
TR_201807,C,2,Cymbomonas tetramitiformis,190
TR_201807,C,2,Emiliania huxleyi,825
TR_201807,C,2,Micromonas pusilla,2254
TR_201807,C,2,Minutocellus polymorphus,2194
TR_201807,C,2,Paracalanus sp. C AC-2013,1858
TR_201807,C,2,Poteriospumella lacustris,70
TR_201807,C,2,Pycnococcus provasolii,551
TR_201807,C,2,Ruditapes philippinarum,83
TR_201807,C,2,Thalassionema nitzschioides,175
TR_201807,C,2,NA,33162
TR_201807,C,3,Bathycoccus prasinos,1235
TR_201807,C,3,Calanus pacificus,157
TR_201807,C,3,Cylindrotheca closterium,29
TR_201807,C,3,Emiliania huxleyi,394
TR_201807,C,3,Micromonas pusilla,3507
TR_201807,C,3,Minutocellus polymorphus,4886
TR_201807,C,3,Paracalanus sp. C AC-2013,2362
TR_201807,C,3,Porichthys notatus,199
TR_201807,C,3,Poteriospumella lacustris,82
TR_201807,C,3,Protoperidinium cf. depressum,9
TR_201807,C,3,Pycnococcus provasolii,492
TR_201807,C,3,Rhizosolenia setigera,6
TR_201807,C,3,Ruditapes philippinarum,10
TR_201807,C,3,Thalassionema nitzschioides,41
TR_201807,C,3,Triparma laevis,13
TR_201807,C,3,NA,34841
TW_201703,A,1,Balanus balanus,42
TW_201703,A,1,Barantolla americana CMC01,138
TW_201703,A,1,Bathycoccus prasinos,46397
TW_201703,A,1,Chaetoceros socialis,42
TW_201703,A,1,Chattonella subsalsa,336
TW_201703,A,1,Chordariaceae sp. 7 AP-2014,436
TW_201703,A,1,Dictyocha speculum,303
TW_201703,A,1,Emiliania huxleyi,15
TW_201703,A,1,Heterocapsa rotundata,336
TW_201703,A,1,Hincksia hincksiae,7
TW_201703,A,1,Homo sapiens,45
TW_201703,A,1,Littorina plena,2
TW_201703,A,1,Micromonas pusilla,21457
TW_201703,A,1,Minutocellus polymorphus,466
TW_201703,A,1,Phaeocystis antarctica,3167
TW_201703,A,1,Poteriospumella lacustris,509
TW_201703,A,1,Pyramimonas parkeae,57
TW_201703,A,1,Ruditapes philippinarum,11
TW_201703,A,1,Skeletonema dohrnii,26
TW_201703,A,1,Thalassiosira nordenskioeldii,69
TW_201703,A,1,Triparma laevis,1951
TW_201703,A,1,NA,94302
TW_201703,A,2,Bathycoccus prasinos,35064
TW_201703,A,2,Chattonella subsalsa,103
TW_201703,A,2,Dictyocha speculum,30
TW_201703,A,2,Heterocapsa rotundata,8
TW_201703,A,2,Homo sapiens,489
TW_201703,A,2,Micromonas pusilla,8018
TW_201703,A,2,Minutocellus polymorphus,59
TW_201703,A,2,Phaeocystis antarctica,917
TW_201703,A,2,Poteriospumella lacustris,40
TW_201703,A,2,Thalassiosira nordenskioeldii,5
TW_201703,A,2,Triparma laevis,336
TW_201703,A,2,NA,37831
TW_201703,A,3,Alitta sp. CMC01,70
TW_201703,A,3,Balanus balanus,99
TW_201703,A,3,Bathycoccus prasinos,56680
TW_201703,A,3,Caulacanthus ustulatus,40
TW_201703,A,3,Chaetoceros socialis,49
TW_201703,A,3,Chattonella subsalsa,625
TW_201703,A,3,Chordariaceae sp. 7 AP-2014,642
TW_201703,A,3,Chrysochromulina sp. CCMP291,5
TW_201703,A,3,Dictyocha speculum,540
TW_201703,A,3,Heterocapsa rotundata,661
TW_201703,A,3,Homo sapiens,29
TW_201703,A,3,Karlodinium veneficum,6
TW_201703,A,3,Micromonas pusilla,26125
TW_201703,A,3,Minutocellus polymorphus,341
TW_201703,A,3,Nitzschia cf. promare,4
TW_201703,A,3,Phaeocystis antarctica,6684
TW_201703,A,3,Poteriospumella lacustris,600
TW_201703,A,3,Pseudochattonella farcimen,60
TW_201703,A,3,Pyramimonas parkeae,137
TW_201703,A,3,Skeletonema dohrnii,30
TW_201703,A,3,Thalassionema nitzschioides,9
TW_201703,A,3,Thalassiosira nordenskioeldii,149
TW_201703,A,3,Triparma laevis,2321
TW_201703,A,3,NA,99441
TW_201703,B,1,Balanus glandula,2357
TW_201703,B,1,Bathycoccus prasinos,45496
TW_201703,B,1,Chattonella subsalsa,66
TW_201703,B,1,Chordariaceae sp. 7 AP-2014,328
TW_201703,B,1,Dictyocha speculum,731
TW_201703,B,1,Heterocapsa rotundata,178
TW_201703,B,1,Homo sapiens,9
TW_201703,B,1,Micromonas pusilla,8316
TW_201703,B,1,Minutocellus polymorphus,134
TW_201703,B,1,Paranemertes californica,1387
TW_201703,B,1,Phaeocystis antarctica,730
TW_201703,B,1,Poteriospumella lacustris,54
TW_201703,B,1,Pyramimonas parkeae,75
TW_201703,B,1,Thalassiosira nordenskioeldii,45
TW_201703,B,1,Triparma laevis,362
TW_201703,B,1,NA,45136
TW_201703,B,2,Balanus glandula,1188
TW_201703,B,2,Bathycoccus prasinos,55454
TW_201703,B,2,Chaetoceros socialis,107
TW_201703,B,2,Chattonella subsalsa,536
TW_201703,B,2,Chordariaceae sp. 7 AP-2014,157
TW_201703,B,2,Coscinodiscus wailesii,12
TW_201703,B,2,Cylindrotheca closterium,30
TW_201703,B,2,Dictyocha speculum,185
TW_201703,B,2,Hemigrapsus oregonensis,6
TW_201703,B,2,Heterocapsa rotundata,25
TW_201703,B,2,Homo sapiens,148
TW_201703,B,2,Lottia paradigitalis,62
TW_201703,B,2,Micromonas pusilla,21476
TW_201703,B,2,Minutocellus polymorphus,204
TW_201703,B,2,Ostrea lurida,25
TW_201703,B,2,Paranemertes californica,321
TW_201703,B,2,Phaeocystis antarctica,5158
TW_201703,B,2,Phaeocystis globosa,5
TW_201703,B,2,Poteriospumella lacustris,454
TW_201703,B,2,Pythium pachycaule,36
TW_201703,B,2,Ruditapes philippinarum,9
TW_201703,B,2,Scopalina ruetzleri,16
TW_201703,B,2,Skeletonema dohrnii,15
TW_201703,B,2,Thalassiosira nordenskioeldii,134
TW_201703,B,2,Triparma laevis,1611
TW_201703,B,2,NA,67577
TW_201703,B,3,Balanus glandula,2106
TW_201703,B,3,Barantolla americana CMC01,12
TW_201703,B,3,Bathycoccus prasinos,46179
TW_201703,B,3,Chaetoceros socialis,24
TW_201703,B,3,Chattonella subsalsa,419
TW_201703,B,3,Chordariaceae sp. 7 AP-2014,589
TW_201703,B,3,Cylindrotheca closterium,15
TW_201703,B,3,Dictyocha speculum,777
TW_201703,B,3,Emplectonema sp. 1 TCH-2015,2
TW_201703,B,3,Heterocapsa rotundata,223
TW_201703,B,3,Leitoscoloplos pugettensis CMC01,12
TW_201703,B,3,Lottia paradigitalis,49
TW_201703,B,3,Micromonas pusilla,16581
TW_201703,B,3,Minutocellus polymorphus,591
TW_201703,B,3,Nitzschia longissima,30
TW_201703,B,3,Paranemertes californica,1720
TW_201703,B,3,Phaeocystis antarctica,3532
TW_201703,B,3,Polychaeta sp. BOLD:ACQ0474,28
TW_201703,B,3,Poteriospumella lacustris,310
TW_201703,B,3,Pyramimonas parkeae,58
TW_201703,B,3,Ruditapes philippinarum,16
TW_201703,B,3,Skeletonema dohrnii,12
TW_201703,B,3,Thalassionema nitzschioides,3
TW_201703,B,3,Thalassiosira nordenskioeldii,102
TW_201703,B,3,Triparma laevis,1977
TW_201703,B,3,NA,48416
TW_201703,C,1,Balanus balanus,23
TW_201703,C,1,Barantolla americana CMC01,9
TW_201703,C,1,Bathycoccus prasinos,51873
TW_201703,C,1,Chaetoceros socialis,3
TW_201703,C,1,Chattonella subsalsa,97
TW_201703,C,1,Chordariaceae sp. 7 AP-2014,266
TW_201703,C,1,Dictyocha speculum,173
TW_201703,C,1,Heterocapsa rotundata,225
TW_201703,C,1,Homo sapiens,474
TW_201703,C,1,Micromonas pusilla,8466
TW_201703,C,1,Minutocellus polymorphus,48
TW_201703,C,1,Phaeocystis antarctica,533
TW_201703,C,1,Poteriospumella lacustris,44
TW_201703,C,1,Pyramimonas parkeae,40
TW_201703,C,1,Thalassiosira nordenskioeldii,30
TW_201703,C,1,Triparma laevis,307
TW_201703,C,1,NA,46000
TW_201703,C,2,Balanus balanus,9
TW_201703,C,2,Barantolla americana CMC01,140
TW_201703,C,2,Bathycoccus prasinos,32077
TW_201703,C,2,Caulacanthus ustulatus,52
TW_201703,C,2,Chaetoceros socialis,67
TW_201703,C,2,Chattonella subsalsa,821
TW_201703,C,2,Chordariaceae sp. 7 AP-2014,66
TW_201703,C,2,Dictyocha speculum,120
TW_201703,C,2,Heterocapsa rotundata,63
TW_201703,C,2,Homo sapiens,51
TW_201703,C,2,Karlodinium veneficum,8
TW_201703,C,2,Leitoscoloplos pugettensis CMC01,162
TW_201703,C,2,Micromonas pusilla,13424
TW_201703,C,2,Minutocellus polymorphus,670
TW_201703,C,2,Phaeocystis antarctica,3804
TW_201703,C,2,Poteriospumella lacustris,468
TW_201703,C,2,Pyramimonas parkeae,14
TW_201703,C,2,Pythium pachycaule,7
TW_201703,C,2,Ruditapes philippinarum,6
TW_201703,C,2,Skeletonema dohrnii,11
TW_201703,C,2,Thalassionema nitzschioides,33
TW_201703,C,2,Thalassiosira nordenskioeldii,30
TW_201703,C,2,Triparma laevis,2097
TW_201703,C,2,NA,101587
TW_201703,C,3,Balanus balanus,56
TW_201703,C,3,Barantolla americana CMC01,109
TW_201703,C,3,Bathycoccus prasinos,55756
TW_201703,C,3,Chaetoceros socialis,60
TW_201703,C,3,Chattonella subsalsa,666
TW_201703,C,3,Chordariaceae sp. 7 AP-2014,117
TW_201703,C,3,Dictyocha speculum,521
TW_201703,C,3,Heterocapsa rotundata,599
TW_201703,C,3,Hincksia hincksiae,47
TW_201703,C,3,Homo sapiens,42
TW_201703,C,3,Karlodinium veneficum,25
TW_201703,C,3,Leitoscoloplos pugettensis CMC01,11
TW_201703,C,3,Micromonas pusilla,18139
TW_201703,C,3,Minutocellus polymorphus,683
TW_201703,C,3,Phaeocystis antarctica,2096
TW_201703,C,3,Poteriospumella lacustris,386
TW_201703,C,3,Pseudochattonella farcimen,31
TW_201703,C,3,Pyramimonas parkeae,147
TW_201703,C,3,Pythium sp. CAL-2011c,5
TW_201703,C,3,Rhizosolenia setigera,15
TW_201703,C,3,Ruditapes philippinarum,11
TW_201703,C,3,Thalassionema nitzschioides,11
TW_201703,C,3,Thalassiosira nordenskioeldii,188
TW_201703,C,3,Triparma laevis,1722
TW_201703,C,3,NA,57704
TW_201703,D,2,Balanus glandula,468
TW_201703,D,2,Barantolla americana CMC01,5
TW_201703,D,2,Bathycoccus prasinos,14240
TW_201703,D,2,Chaetoceros socialis,9
TW_201703,D,2,Chattonella subsalsa,36
TW_201703,D,2,Chordariaceae sp. 7 AP-2014,81
TW_201703,D,2,Dictyocha speculum,885
TW_201703,D,2,Heterocapsa rotundata,9
TW_201703,D,2,Micromonas pusilla,3827
TW_201703,D,2,Minutocellus polymorphus,115
TW_201703,D,2,Phaeocystis antarctica,955
TW_201703,D,2,Poteriospumella lacustris,53
TW_201703,D,2,Pyramimonas parkeae,17
TW_201703,D,2,Thalassiosira nordenskioeldii,16
TW_201703,D,2,Triparma laevis,401
TW_201703,D,2,NA,41011
TW_201703,D,3,Balanus glandula,589
TW_201703,D,3,Bathycoccus prasinos,16761
TW_201703,D,3,Chaetoceros socialis,24
TW_201703,D,3,Chattonella subsalsa,56
TW_201703,D,3,Dictyocha speculum,1514
TW_201703,D,3,Heterocapsa rotundata,8
TW_201703,D,3,Micromonas pusilla,4536
TW_201703,D,3,Minutocellus polymorphus,98
TW_201703,D,3,Phaeocystis antarctica,1681
TW_201703,D,3,Poteriospumella lacustris,58
TW_201703,D,3,Thalassiosira nordenskioeldii,10
TW_201703,D,3,Triparma laevis,665
TW_201703,D,3,NA,48158
TW_201703,E,2,Barantolla americana CMC01,175
TW_201703,E,2,Bathycoccus prasinos,19926
TW_201703,E,2,Centropages abdominalis,52
TW_201703,E,2,Chattonella subsalsa,70
TW_201703,E,2,Dictyocha speculum,1019
TW_201703,E,2,Emiliania huxleyi,5
TW_201703,E,2,Emplectonema sp. 1 TCH-2015,3
TW_201703,E,2,Heterocapsa rotundata,23
TW_201703,E,2,Hincksia hincksiae,7
TW_201703,E,2,Homo sapiens,17
TW_201703,E,2,Karlodinium veneficum,8
TW_201703,E,2,Littorina plena,3
TW_201703,E,2,Micromonas pusilla,5132
TW_201703,E,2,Minutocellus polymorphus,154
TW_201703,E,2,Navicula cryptocephala,17
TW_201703,E,2,Paranemertes californica,5
TW_201703,E,2,Phaeocystis antarctica,678
TW_201703,E,2,Poteriospumella lacustris,91
TW_201703,E,2,Pyramimonas parkeae,27
TW_201703,E,2,Rhodotorula taiwanensis,3
TW_201703,E,2,Thalassiosira nordenskioeldii,22
TW_201703,E,2,Triparma laevis,609
TW_201703,E,2,NA,51478
TW_201703,E,3,Bathycoccus prasinos,15426
TW_201703,E,3,Centropages abdominalis,21
TW_201703,E,3,Chaetoceros socialis,17
TW_201703,E,3,Chattonella subsalsa,76
TW_201703,E,3,Chordariaceae sp. 7 AP-2014,63
TW_201703,E,3,Cylindrotheca closterium,19
TW_201703,E,3,Dictyocha speculum,1020
TW_201703,E,3,Heterocapsa rotundata,29
TW_201703,E,3,Micromonas pusilla,4295
TW_201703,E,3,Minutocellus polymorphus,89
TW_201703,E,3,Phaeocystis antarctica,1470
TW_201703,E,3,Poteriospumella lacustris,72
TW_201703,E,3,Pyramimonas parkeae,17
TW_201703,E,3,Thalassiosira nordenskioeldii,14
TW_201703,E,3,Triparma laevis,577
TW_201703,E,3,NA,41665
TW_201703,F,1,Bathycoccus prasinos,25219
TW_201703,F,1,Chaetoceros socialis,9
TW_201703,F,1,Chattonella subsalsa,71
TW_201703,F,1,Chordariaceae sp. 7 AP-2014,190
TW_201703,F,1,Cylindrotheca closterium,7
TW_201703,F,1,Dictyocha speculum,764
TW_201703,F,1,Heterocapsa rotundata,84
TW_201703,F,1,Micromonas pusilla,5663
TW_201703,F,1,Minutocellus polymorphus,53
TW_201703,F,1,Phaeocystis antarctica,1216
TW_201703,F,1,Poteriospumella lacustris,43
TW_201703,F,1,Pyramimonas parkeae,19
TW_201703,F,1,Thalassiosira nordenskioeldii,32
TW_201703,F,1,Triparma laevis,213
TW_201703,F,1,NA,91782
TW_201703,F,2,Bathycoccus prasinos,26678
TW_201703,F,2,Chattonella subsalsa,40
TW_201703,F,2,Dictyocha speculum,270
TW_201703,F,2,Heterocapsa rotundata,15
TW_201703,F,2,Homo sapiens,53
TW_201703,F,2,Micromonas pusilla,1536
TW_201703,F,2,Minutocellus polymorphus,12
TW_201703,F,2,Phaeocystis antarctica,75
TW_201703,F,2,Poteriospumella lacustris,17
TW_201703,F,2,Pyramimonas parkeae,11
TW_201703,F,2,Thalassiosira nordenskioeldii,7
TW_201703,F,2,Triparma laevis,32
TW_201703,F,2,NA,119506
TW_201703,F,3,Barantolla americana CMC01,11
TW_201703,F,3,Bathycoccus prasinos,92056
TW_201703,F,3,Chaetoceros socialis,153
TW_201703,F,3,Chattonella subsalsa,771
TW_201703,F,3,Chordariaceae sp. 7 AP-2014,635
TW_201703,F,3,Cylindrotheca closterium,11
TW_201703,F,3,Dictyocha speculum,6204
TW_201703,F,3,Heterocapsa rotundata,180
TW_201703,F,3,Homo sapiens,28
TW_201703,F,3,Karlodinium veneficum,9
TW_201703,F,3,Micromonas pusilla,23988
TW_201703,F,3,Minutocellus polymorphus,362
TW_201703,F,3,Nereis vexillosa,5
TW_201703,F,3,Nitzschia cf. promare,49
TW_201703,F,3,Paracalanus sp. C AC-2013,18
TW_201703,F,3,Phaeocystis antarctica,6240
TW_201703,F,3,Poteriospumella lacustris,276
TW_201703,F,3,Pyramimonas parkeae,210
TW_201703,F,3,Pythium pachycaule,3
TW_201703,F,3,Pythium sp. CAL-2011c,4
TW_201703,F,3,Scopalina ruetzleri,31
TW_201703,F,3,Skeletonema dohrnii,27
TW_201703,F,3,Thalassionema nitzschioides,3
TW_201703,F,3,Thalassiosira nordenskioeldii,188
TW_201703,F,3,Triparma laevis,3056
TW_201703,F,3,NA,346930
TW_201705,A,1,Bathycoccus prasinos,155
TW_201705,A,1,Chaetoceros socialis,735
TW_201705,A,1,Chaetoceros sp. MBTD-CMFRI-S062,2
TW_201705,A,1,Chattonella subsalsa,5
TW_201705,A,1,Chrysochromulina sp. CCMP291,55
TW_201705,A,1,Cylindrotheca closterium,31
TW_201705,A,1,Dictyocha speculum,1401
TW_201705,A,1,Ditylum brightwellii,2
TW_201705,A,1,Emiliania huxleyi,63
TW_201705,A,1,Emplectonema sp. 1 TCH-2015,25
TW_201705,A,1,Homo sapiens,14
TW_201705,A,1,Littorina plena,634
TW_201705,A,1,Micromonas pusilla,8682
TW_201705,A,1,Minutocellus polymorphus,61
TW_201705,A,1,Musculista senhousia,3
TW_201705,A,1,Mytilus trossulus,610
TW_201705,A,1,Navicula cryptocephala,4
TW_201705,A,1,Nuttallia olivacea,21
TW_201705,A,1,Pedospumella sinomuralis,6
TW_201705,A,1,Poteriospumella lacustris,4
TW_201705,A,1,Prasinoderma coloniale,95
TW_201705,A,1,Protoperidinium cf. depressum,21
TW_201705,A,1,Pseudochattonella farcimen,138
TW_201705,A,1,Pythium tracheiphilum,10
TW_201705,A,1,Rhizosolenia setigera,679
TW_201705,A,1,Skeletonema dohrnii,305
TW_201705,A,1,Thalassiosira nordenskioeldii,2077
TW_201705,A,1,Triparma laevis,16
TW_201705,A,1,NA,24472
TW_201705,A,2,Attheya longicornis,4
TW_201705,A,2,Chaetoceros socialis,339
TW_201705,A,2,Chrysochromulina sp. CCMP291,29
TW_201705,A,2,Dictyocha speculum,890
TW_201705,A,2,Ditylum brightwellii,10
TW_201705,A,2,Emplectonema sp. 1 TCH-2015,45
TW_201705,A,2,Littorina plena,1807
TW_201705,A,2,Micromonas pusilla,9374
TW_201705,A,2,Mytilus trossulus,666
TW_201705,A,2,Pythium tracheiphilum,14
TW_201705,A,2,Ruditapes philippinarum,16
TW_201705,A,2,Thalassiosira nordenskioeldii,1198
TW_201705,A,2,NA,12042
TW_201705,A,3,Attheya longicornis,267
TW_201705,A,3,Chaetoceros socialis,1962
TW_201705,A,3,Chrysochromulina sp. CCMP291,33
TW_201705,A,3,Cylindrotheca closterium,520
TW_201705,A,3,Dendraster excentricus,3
TW_201705,A,3,Dictyocha speculum,1552
TW_201705,A,3,Ditylum brightwellii,2
TW_201705,A,3,Hematodinium sp.,14
TW_201705,A,3,Littorina plena,746
TW_201705,A,3,Micromonas pusilla,19787
TW_201705,A,3,Mytilus trossulus,2201
TW_201705,A,3,Paracalanus sp. C AC-2013,194
TW_201705,A,3,Protoperidinium cf. depressum,55
TW_201705,A,3,Pyropia haitanensis,106
TW_201705,A,3,Ruditapes philippinarum,261
TW_201705,A,3,Thalassiosira nordenskioeldii,9142
TW_201705,A,3,NA,45228
TW_201705,B,1,Aequorea sp. MW-2012,42
TW_201705,B,1,Attheya longicornis,5
TW_201705,B,1,Bathycoccus prasinos,86
TW_201705,B,1,Chaetoceros socialis,673
TW_201705,B,1,Chrysochromulina sp. CCMP291,5
TW_201705,B,1,Dictyocha speculum,640
TW_201705,B,1,Ditylum brightwellii,6
TW_201705,B,1,Emiliania huxleyi,389
TW_201705,B,1,Littorina plena,897
TW_201705,B,1,Micromonas pusilla,13705
TW_201705,B,1,Minutocellus polymorphus,80
TW_201705,B,1,Mytilus trossulus,67
TW_201705,B,1,Protoperidinium cf. depressum,15
TW_201705,B,1,Pseudochattonella farcimen,196
TW_201705,B,1,Thalassiosira nordenskioeldii,2149
TW_201705,B,1,Triparma laevis,23
TW_201705,B,1,NA,32849
TW_201705,B,2,Aequorea sp. MW-2012,91
TW_201705,B,2,Attheya longicornis,29
TW_201705,B,2,Bathycoccus prasinos,47
TW_201705,B,2,Callithamnion corymbosum,7
TW_201705,B,2,Chaetoceros socialis,1103
TW_201705,B,2,Chrysochromulina sp. CCMP291,120
TW_201705,B,2,Dendraster excentricus,11
TW_201705,B,2,Dictyocha speculum,900
TW_201705,B,2,Ditylum brightwellii,22
TW_201705,B,2,Emiliania huxleyi,890
TW_201705,B,2,Littorina plena,1786
TW_201705,B,2,Littorina scutulata,58
TW_201705,B,2,Micromonas pusilla,11703
TW_201705,B,2,Minutocellus polymorphus,353
TW_201705,B,2,Mytilus trossulus,209
TW_201705,B,2,Nitzschia cf. promare,38
TW_201705,B,2,Pedospumella sinomuralis,2
TW_201705,B,2,Protoperidinium cf. depressum,107
TW_201705,B,2,Pseudochattonella farcimen,88
TW_201705,B,2,Saprolegnia diclina,7
TW_201705,B,2,Thalassiosira nordenskioeldii,3041
TW_201705,B,2,Triparma laevis,45
TW_201705,B,2,NA,34350
TW_201705,B,3,Aequorea sp. MW-2012,126
TW_201705,B,3,Attheya longicornis,313
TW_201705,B,3,Balanus glandula,268
TW_201705,B,3,Bathycoccus prasinos,465
TW_201705,B,3,Chaetoceros socialis,1734
TW_201705,B,3,Chrysochromulina sp. CCMP291,96
TW_201705,B,3,Cylindrotheca closterium,999
TW_201705,B,3,Dendraster excentricus,515
TW_201705,B,3,Dictyocha speculum,1410
TW_201705,B,3,Ditylum brightwellii,141
TW_201705,B,3,Emiliania huxleyi,633
TW_201705,B,3,Heterosigma akashiwo,3
TW_201705,B,3,Lagenidium giganteum,5
TW_201705,B,3,Littorina plena,3059
TW_201705,B,3,Micromonas pusilla,8394
TW_201705,B,3,Minutocellus polymorphus,321
TW_201705,B,3,Mytilus trossulus,285
TW_201705,B,3,Paracalanus sp. C AC-2013,3
TW_201705,B,3,Paranemertes californica,20
TW_201705,B,3,Protoperidinium cf. depressum,243
TW_201705,B,3,Pseudochattonella farcimen,99
TW_201705,B,3,Pyropia haitanensis,10
TW_201705,B,3,Ruditapes philippinarum,201
TW_201705,B,3,Saprolegnia diclina,38
TW_201705,B,3,Thalassiosira nordenskioeldii,3249
TW_201705,B,3,NA,28910
TW_201705,C,1,Balanus glandula,43
TW_201705,C,1,Carcinonemertes errans,694
TW_201705,C,1,Chaetoceros socialis,931
TW_201705,C,1,Chthamalus dalli,578
TW_201705,C,1,Dictyocha speculum,233
TW_201705,C,1,Ditylum brightwellii,6
TW_201705,C,1,Littorina plena,5849
TW_201705,C,1,Micromonas pusilla,8078
TW_201705,C,1,Mytilus trossulus,1135
TW_201705,C,1,Protoperidinium cf. depressum,8
TW_201705,C,1,Thalassiosira nordenskioeldii,1386
TW_201705,C,1,NA,19665
TW_201705,C,2,Attheya longicornis,7
TW_201705,C,2,Bathycoccus prasinos,18
TW_201705,C,2,Calanus pacificus,13
TW_201705,C,2,Carcinonemertes errans,2014
TW_201705,C,2,Chaetoceros socialis,1118
TW_201705,C,2,Chthamalus dalli,6852
TW_201705,C,2,Dendraster excentricus,3
TW_201705,C,2,Dictyocha speculum,457
TW_201705,C,2,Emiliania huxleyi,9
